state,state_abr,region,division
Alabama,AL,South,East South Central
Alaska,AK,West,Pacific
Arizona,AZ,West,Mountain
Arkansas,AR,South,West South Central
California,CA,West,Pacific
Colorado,CO,West,Mountain
Connecticut,CT,Northeast,New England
Delaware,DE,South,South Atlantic
District of Columbia,DC,South,South Atlantic
Florida,FL,South,South Atlantic
Georgia,GA,South,South Atlantic
Hawaii,HI,West,Pacific
Idaho,ID,West,Mountain
Illinois,IL,Midwest,East North Central
Indiana,IN,Midwest,East North Central
Iowa,IA,Midwest,West North Central
Kansas,KS,Midwest,West North Central
Kentucky,KY,South,East South Central
Louisiana,LA,South,West South Central
Maine,ME,Northeast,New England
Maryland,MD,South,South Atlantic
Massachusetts,MA,Northeast,New England
Michigan,MI,Midwest,East North Central
Minnesota,MN,Midwest,West North Central
Mississippi,MS,South,East South Central
Missouri,MO,Midwest,West North Central
Montana,MT,West,Mountain
Nebraska,NE,Midwest,West North Central
Nevada,NV,West,Mountain
New Hampshire,NH,Northeast,New England
New Jersey,NJ,Northeast,Middle Atlantic
New Mexico,NM,West,Mountain
New York,NY,Northeast,Middle Atlantic
North Carolina,NC,South,South Atlantic
North Dakota,ND,Midwest,West North Central
Ohio,OH,Midwest,East North Central
Oklahoma,OK,South,West South Central
Oregon,OR,West,Pacific
Pennsylvania,PA,Northeast,Middle Atlantic
Rhode Island,RI,Northeast,New England
South Carolina,SC,South,South Atlantic
South Dakota,SD,Midwest,West North Central
Tennessee,TN,South,East South Central
Texas,TX,South,West South Central
Utah,UT,West,Mountain
Vermont,VT,Northeast,New England
Virginia,VA,South,South Atlantic
Washington,WA,West,Pacific
West Virginia,WV,South,South Atlantic
Wisconsin,WI,Midwest,East North Central
Wyoming,WY,West,Mountain
