,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,year,Lower Confidence Interval,Upper Confidence Interval,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Health..Life.Expectancy.,Trust..Government.Corruption.,Dystopia.Residual,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,RANK,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita
0,Switzerland,Western Europe,1.0,7.587,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Iceland,Western Europe,2.0,7.561,0.04884,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Denmark,Western Europe,3.0,7.527,0.03328,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Norway,Western Europe,4.0,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Canada,North America,5.0,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Finland,Western Europe,6.0,7.406,0.0314,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Netherlands,Western Europe,7.0,7.378,0.02799,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sweden,Western Europe,8.0,7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,New Zealand,Australia and New Zealand,9.0,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Australia,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Israel,Middle East and Northern Africa,11.0,7.278,0.0347,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Costa Rica,Latin America and Caribbean,12.0,7.226,0.04454,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Austria,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Mexico,Latin America and Caribbean,14.0,7.187,0.04176,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,United States,North America,15.0,7.119,0.03839,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Brazil,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Luxembourg,Western Europe,17.0,6.946,0.03499,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ireland,Western Europe,18.0,6.94,0.03676,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Belgium,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,United Arab Emirates,Middle East and Northern Africa,20.0,6.901,0.03729,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,United Kingdom,Western Europe,21.0,6.867,0.01866,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Oman,Middle East and Northern Africa,22.0,6.853,0.05335,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Venezuela,Latin America and Caribbean,23.0,6.81,0.06476,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Singapore,Southeastern Asia,24.0,6.798,0.0378,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Panama,Latin America and Caribbean,25.0,6.786,0.0491,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Germany,Western Europe,26.0,6.75,0.01848,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Chile,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
