company,ticker,date,price,index_price,price_indexed
Alphabet,GOOG,2017-06-02,975.6,285.2,342.0757363253857
Alphabet,GOOG,2017-06-01,966.95,285.2,339.0427769985975
Alphabet,GOOG,2017-05-31,964.86,285.2,338.3099579242637
Alphabet,GOOG,2017-05-30,975.88,285.2,342.17391304347825
Alphabet,GOOG,2017-05-26,971.47,285.2,340.6276297335204
Alphabet,GOOG,2017-05-25,969.54,285.2,339.95091164095373
Alphabet,GOOG,2017-05-24,954.96,285.2,334.8387096774194
Alphabet,GOOG,2017-05-23,948.82,285.2,332.68583450210383
Alphabet,GOOG,2017-05-22,941.86,285.2,330.24544179523144
Alphabet,GOOG,2017-05-19,934.01,285.2,327.4929873772791
Alphabet,GOOG,2017-05-18,930.24,285.2,326.1711079943899
Alphabet,GOOG,2017-05-17,919.62,285.2,322.44740532959327
Alphabet,GOOG,2017-05-16,943,285.2,330.6451612903226
Alphabet,GOOG,2017-05-15,937.08,285.2,328.5694249649369
Alphabet,GOOG,2017-05-12,932.22,285.2,326.8653576437588
Alphabet,GOOG,2017-05-11,930.6,285.2,326.2973352033661
Alphabet,GOOG,2017-05-10,928.78,285.2,325.6591865357644
Alphabet,GOOG,2017-05-09,932.17,285.2,326.8478260869565
Alphabet,GOOG,2017-05-08,934.3,285.2,327.5946704067321
Alphabet,GOOG,2017-05-05,927.13,285.2,325.08064516129036
Alphabet,GOOG,2017-05-04,931.66,285.2,326.6690042075736
Alphabet,GOOG,2017-05-03,927.04,285.2,325.04908835904627
Alphabet,GOOG,2017-05-02,916.44,285.2,321.33239831697057
Alphabet,GOOG,2017-05-01,912.57,285.2,319.9754558204769
Alphabet,GOOG,2017-04-28,905.96,285.2,317.6577840112202
Alphabet,GOOG,2017-04-27,874.25,285.2,306.53927068723704
Alphabet,GOOG,2017-04-26,871.73,285.2,305.6556802244039
Alphabet,GOOG,2017-04-25,872.3,285.2,305.8555399719495
Alphabet,GOOG,2017-04-24,862.76,285.2,302.51051893408135
Alphabet,GOOG,2017-04-21,843.19,285.2,295.64866760168303
Alphabet,GOOG,2017-04-20,841.65,285.2,295.10869565217394
Alphabet,GOOG,2017-04-19,838.21,285.2,293.9025245441795
Alphabet,GOOG,2017-04-18,836.82,285.2,293.41514726507717
Alphabet,GOOG,2017-04-17,837.17,285.2,293.5378681626928
Alphabet,GOOG,2017-04-13,823.56,285.2,288.765778401122
Alphabet,GOOG,2017-04-12,824.32,285.2,289.03225806451616
Alphabet,GOOG,2017-04-11,823.35,285.2,288.6921458625526
Alphabet,GOOG,2017-04-10,824.73,285.2,289.17601683029454
Alphabet,GOOG,2017-04-07,824.67,285.2,289.15497896213185
Alphabet,GOOG,2017-04-06,827.88,285.2,290.2805049088359
Alphabet,GOOG,2017-04-05,831.41,285.2,291.51823281907434
Alphabet,GOOG,2017-04-04,834.57,285.2,292.62622720897616
Alphabet,GOOG,2017-04-03,838.55,285.2,294.02173913043475
Alphabet,GOOG,2017-03-31,829.56,285.2,290.8695652173913
Alphabet,GOOG,2017-03-30,831.5,285.2,291.5497896213184
Alphabet,GOOG,2017-03-29,831.41,285.2,291.51823281907434
Alphabet,GOOG,2017-03-28,820.92,285.2,287.84011220196356
Alphabet,GOOG,2017-03-27,819.51,285.2,287.34572230014027
Alphabet,GOOG,2017-03-24,814.43,285.2,285.56451612903226
Alphabet,GOOG,2017-03-23,817.58,285.2,286.66900420757366
Alphabet,GOOG,2017-03-22,829.59,285.2,290.88008415147266
Alphabet,GOOG,2017-03-21,830.46,285.2,291.1851332398317
Alphabet,GOOG,2017-03-20,848.4,285.2,297.47545582047684
Alphabet,GOOG,2017-03-17,852.12,285.2,298.77980364656383
Alphabet,GOOG,2017-03-16,848.78,285.2,297.60869565217394
Alphabet,GOOG,2017-03-15,847.2,285.2,297.054698457223
Alphabet,GOOG,2017-03-14,845.62,285.2,296.5007012622721
Alphabet,GOOG,2017-03-13,845.54,285.2,296.4726507713885
Alphabet,GOOG,2017-03-10,843.25,285.2,295.6697054698457
Alphabet,GOOG,2017-03-09,838.68,285.2,294.0673211781206
Alphabet,GOOG,2017-03-08,835.37,285.2,292.9067321178121
Alphabet,GOOG,2017-03-07,831.91,285.2,291.69354838709677
Alphabet,GOOG,2017-03-06,827.78,285.2,290.24544179523144
Alphabet,GOOG,2017-03-03,829.08,285.2,290.70126227208976
Alphabet,GOOG,2017-03-02,830.63,285.2,291.2447405329593
Alphabet,GOOG,2017-03-01,835.24,285.2,292.86115007012626
Alphabet,GOOG,2017-02-28,823.21,285.2,288.6430575035063
Alphabet,GOOG,2017-02-27,829.28,285.2,290.7713884992988
Alphabet,GOOG,2017-02-24,828.64,285.2,290.54698457223003
Alphabet,GOOG,2017-02-23,831.33,285.2,291.49018232819077
Alphabet,GOOG,2017-02-22,830.76,285.2,291.2903225806452
Alphabet,GOOG,2017-02-21,831.66,285.2,291.6058906030856
Alphabet,GOOG,2017-02-17,828.07,285.2,290.34712482468444
Alphabet,GOOG,2017-02-16,824.16,285.2,288.97615708274895
Alphabet,GOOG,2017-02-15,818.98,285.2,287.1598877980365
Alphabet,GOOG,2017-02-14,820.45,285.2,287.6753155680225
Alphabet,GOOG,2017-02-13,819.24,285.2,287.25105189340815
Alphabet,GOOG,2017-02-10,813.67,285.2,285.2980364656382
Alphabet,GOOG,2017-02-09,809.56,285.2,283.8569424964937
Alphabet,GOOG,2017-02-08,808.38,285.2,283.44319775596074
Alphabet,GOOG,2017-02-07,806.97,285.2,282.9488078541375
Alphabet,GOOG,2017-02-06,801.34,285.2,280.9747545582048
Alphabet,GOOG,2017-02-03,801.49,285.2,281.0273492286115
Alphabet,GOOG,2017-02-02,798.53,285.2,279.98948106591865
Alphabet,GOOG,2017-02-01,795.7,285.2,278.99719495091165
Alphabet,GOOG,2017-01-31,796.79,285.2,279.37938288920054
Alphabet,GOOG,2017-01-30,802.32,285.2,281.31837307152875
Alphabet,GOOG,2017-01-27,823.31,285.2,288.6781206171108
Alphabet,GOOG,2017-01-26,832.15,285.2,291.77769985974754
Alphabet,GOOG,2017-01-25,835.67,285.2,293.0119214586255
Alphabet,GOOG,2017-01-24,823.87,285.2,288.87447405329596
Alphabet,GOOG,2017-01-23,819.31,285.2,287.27559607293125
Alphabet,GOOG,2017-01-20,805.02,285.2,282.2650771388499
Alphabet,GOOG,2017-01-19,802.18,285.2,281.2692847124825
Alphabet,GOOG,2017-01-18,806.07,285.2,282.6332398316971
Alphabet,GOOG,2017-01-17,804.61,285.2,282.1213183730715
Alphabet,GOOG,2017-01-13,807.88,285.2,283.26788218793826
Alphabet,GOOG,2017-01-12,806.36,285.2,282.7349228611501
Alphabet,GOOG,2017-01-11,807.91,285.2,283.27840112201966
Alphabet,GOOG,2017-01-10,804.79,285.2,282.1844319775596
Alphabet,GOOG,2017-01-09,806.65,285.2,282.8366058906031
Alphabet,GOOG,2017-01-06,806.15,285.2,282.66129032258067
Alphabet,GOOG,2017-01-05,794.02,285.2,278.40813464235623
Alphabet,GOOG,2017-01-04,786.9,285.2,275.9116409537167
Alphabet,GOOG,2017-01-03,786.14,285.2,275.64516129032256
Alphabet,GOOG,2016-12-30,771.82,285.2,270.6241234221599
Alphabet,GOOG,2016-12-29,782.79,285.2,274.47054698457225
Alphabet,GOOG,2016-12-28,785.05,285.2,275.26297335203367
Alphabet,GOOG,2016-12-27,791.55,285.2,277.5420757363254
Alphabet,GOOG,2016-12-23,789.91,285.2,276.9670406732118
Alphabet,GOOG,2016-12-22,791.26,285.2,277.4403927068724
Alphabet,GOOG,2016-12-21,794.56,285.2,278.5974754558205
Alphabet,GOOG,2016-12-20,796.42,285.2,279.24964936886397
Alphabet,GOOG,2016-12-19,794.2,285.2,278.4712482468443
Alphabet,GOOG,2016-12-16,790.8,285.2,277.2791023842917
Alphabet,GOOG,2016-12-15,797.85,285.2,279.75105189340815
Alphabet,GOOG,2016-12-14,797.07,285.2,279.47755960729313
Alphabet,GOOG,2016-12-13,796.1,285.2,279.1374474053296
Alphabet,GOOG,2016-12-12,789.27,285.2,276.74263674614303
Alphabet,GOOG,2016-12-09,789.29,285.2,276.74964936886397
Alphabet,GOOG,2016-12-08,776.42,285.2,272.23702664796633
Alphabet,GOOG,2016-12-07,771.19,285.2,270.40322580645164
Alphabet,GOOG,2016-12-06,759.11,285.2,266.1676016830295
Alphabet,GOOG,2016-12-05,762.52,285.2,267.3632538569425
Alphabet,GOOG,2016-12-02,750.5,285.2,263.14866760168303
Alphabet,GOOG,2016-12-01,747.92,285.2,262.24403927068727
Alphabet,GOOG,2016-11-30,758.04,285.2,265.7924263674614
Alphabet,GOOG,2016-11-29,770.84,285.2,270.28050490883595
Alphabet,GOOG,2016-11-28,768.24,285.2,269.36886395511925
Alphabet,GOOG,2016-11-25,761.68,285.2,267.0687237026648
Alphabet,GOOG,2016-11-23,760.99,285.2,266.82678821879387
Alphabet,GOOG,2016-11-22,768.27,285.2,269.37938288920054
Alphabet,GOOG,2016-11-21,769.2,285.2,269.70546984572235
Alphabet,GOOG,2016-11-18,760.54,285.2,266.6690042075736
Alphabet,GOOG,2016-11-17,771.23,285.2,270.4172510518934
Alphabet,GOOG,2016-11-16,764.48,285.2,268.0504908835905
Alphabet,GOOG,2016-11-15,758.49,285.2,265.9502103786816
Alphabet,GOOG,2016-11-14,736.08,285.2,258.0925666199159
Alphabet,GOOG,2016-11-11,754.02,285.2,264.382889200561
Alphabet,GOOG,2016-11-10,762.56,285.2,267.3772791023843
Alphabet,GOOG,2016-11-09,785.31,285.2,275.3541374474053
Alphabet,GOOG,2016-11-08,790.51,285.2,277.1774193548387
Alphabet,GOOG,2016-11-07,782.52,285.2,274.37587657784013
Alphabet,GOOG,2016-11-04,762.02,285.2,267.18793828892007
Alphabet,GOOG,2016-11-03,762.13,285.2,267.226507713885
Alphabet,GOOG,2016-11-02,768.7,285.2,269.5301542776999
Alphabet,GOOG,2016-11-01,783.61,285.2,274.758064516129
Alphabet,GOOG,2016-10-31,784.54,285.2,275.0841514726508
Alphabet,GOOG,2016-10-28,795.37,285.2,278.88148667601683
Alphabet,GOOG,2016-10-27,795.35,285.2,278.87447405329596
Alphabet,GOOG,2016-10-26,799.07,285.2,280.1788218793829
Alphabet,GOOG,2016-10-25,807.67,285.2,283.1942496493689
Alphabet,GOOG,2016-10-24,813.11,285.2,285.10168302945306
Alphabet,GOOG,2016-10-21,799.37,285.2,280.28401122019636
Alphabet,GOOG,2016-10-20,796.97,285.2,279.4424964936887
Alphabet,GOOG,2016-10-19,801.56,285.2,281.0518934081347
Alphabet,GOOG,2016-10-18,795.26,285.2,278.8429172510519
Alphabet,GOOG,2016-10-17,779.96,285.2,273.47826086956525
Alphabet,GOOG,2016-10-14,778.53,285.2,272.976858345021
Alphabet,GOOG,2016-10-13,778.19,285.2,272.8576437587658
Alphabet,GOOG,2016-10-12,786.14,285.2,275.64516129032256
Alphabet,GOOG,2016-10-11,783.07,285.2,274.56872370266484
Alphabet,GOOG,2016-10-10,785.94,285.2,275.57503506311366
Alphabet,GOOG,2016-10-07,775.08,285.2,271.76718092566625
Alphabet,GOOG,2016-10-06,776.86,285.2,272.3913043478261
Alphabet,GOOG,2016-10-05,776.47,285.2,272.25455820476856
Alphabet,GOOG,2016-10-04,776.43,285.2,272.2405329593268
Alphabet,GOOG,2016-10-03,772.56,285.2,270.8835904628331
Alphabet,GOOG,2016-09-30,777.29,285.2,272.5420757363254
Alphabet,GOOG,2016-09-29,775.01,285.2,271.7426367461431
Alphabet,GOOG,2016-09-28,781.56,285.2,274.03927068723704
Alphabet,GOOG,2016-09-27,783.01,285.2,274.54768583450215
Alphabet,GOOG,2016-09-26,774.21,285.2,271.46213183730714
Alphabet,GOOG,2016-09-23,786.9,285.2,275.9116409537167
Alphabet,GOOG,2016-09-22,787.21,285.2,276.02033660589063
Alphabet,GOOG,2016-09-21,776.22,285.2,272.1669004207574
Alphabet,GOOG,2016-09-20,771.41,285.2,270.4803646563815
Alphabet,GOOG,2016-09-19,765.7,285.2,268.47826086956525
Alphabet,GOOG,2016-09-16,768.88,285.2,269.59326788218794
Alphabet,GOOG,2016-09-15,771.76,285.2,270.6030855539972
Alphabet,GOOG,2016-09-14,762.49,285.2,267.3527349228612
Alphabet,GOOG,2016-09-13,759.69,285.2,266.3709677419355
Alphabet,GOOG,2016-09-12,769.02,285.2,269.6423562412342
Alphabet,GOOG,2016-09-09,759.66,285.2,266.36044880785414
Alphabet,GOOG,2016-09-08,775.32,285.2,271.85133239831697
Alphabet,GOOG,2016-09-07,780.35,285.2,273.61500701262275
Alphabet,GOOG,2016-09-06,780.08,285.2,273.52033660589063
Alphabet,GOOG,2016-09-02,771.46,285.2,270.49789621318376
Alphabet,GOOG,2016-09-01,768.78,285.2,269.55820476858344
Alphabet,GOOG,2016-08-31,767.05,285.2,268.9516129032258
Alphabet,GOOG,2016-08-30,769.09,285.2,269.6669004207574
Alphabet,GOOG,2016-08-29,772.15,285.2,270.7398316970547
Alphabet,GOOG,2016-08-26,769.54,285.2,269.8246844319776
Alphabet,GOOG,2016-08-25,769.41,285.2,269.7791023842917
Alphabet,GOOG,2016-08-24,769.64,285.2,269.859747545582
Alphabet,GOOG,2016-08-23,772.08,285.2,270.7152875175316
Alphabet,GOOG,2016-08-22,772.15,285.2,270.7398316970547
